date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:48:19	6168/6168	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2012%20Apr%202022%2005:46:37%20GMT	https://badkid.club/wp-content/plugins/timeline-widget-addon-for-elementor/assets/font/fontello.eot?42994344	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/timeline-widget-addon-for-elementor/assets/font/fontello0604.eot	(from https://badkid.club/wp-content/plugins/timeline-widget-addon-for-elementor/assets/css/twae-fontello.css?ver=1.3.4)
23:48:19	2748/2748	---M--	200	added ('OK')	font/woff2	date:Tue,%2012%20Apr%202022%2005:46:37%20GMT	https://badkid.club/wp-content/plugins/timeline-widget-addon-for-elementor/assets/font/fontello.woff2?42994344	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/timeline-widget-addon-for-elementor/assets/font/fontello0604.woff2	(from https://badkid.club/wp-content/plugins/timeline-widget-addon-for-elementor/assets/css/twae-fontello.css?ver=1.3.4)
23:48:20	3492/3492	---M--	200	added ('OK')	font/woff	date:Tue,%2012%20Apr%202022%2005:46:37%20GMT	https://badkid.club/wp-content/plugins/timeline-widget-addon-for-elementor/assets/font/fontello.woff?42994344	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/timeline-widget-addon-for-elementor/assets/font/fontello0604.woff	(from https://badkid.club/wp-content/plugins/timeline-widget-addon-for-elementor/assets/css/twae-fontello.css?ver=1.3.4)
23:48:20	6000/6000	---MCZ	200	added ('OK')	font/ttf	date:Tue,%2012%20Apr%202022%2005:46:37%20GMT	https://badkid.club/wp-content/plugins/timeline-widget-addon-for-elementor/assets/font/fontello.ttf?42994344	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/timeline-widget-addon-for-elementor/assets/font/fontello0604.ttf	(from https://badkid.club/wp-content/plugins/timeline-widget-addon-for-elementor/assets/css/twae-fontello.css?ver=1.3.4)
23:48:21	2417/2417	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2012%20Apr%202022%2005:46:37%20GMT	https://badkid.club/wp-content/plugins/timeline-widget-addon-for-elementor/assets/font/fontello.svg?42994344	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/timeline-widget-addon-for-elementor/assets/font/fontello0604.svg	(from https://badkid.club/wp-content/plugins/timeline-widget-addon-for-elementor/assets/css/twae-fontello.css?ver=1.3.4)
23:48:22	34034/34034	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2029%20Mar%202022%2008:22:22%20GMT	https://badkid.club/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot	(from https://badkid.club/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=4.9.5)
23:48:22	34034/34034	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2029%20Mar%202022%2008:22:22%20GMT	https://badkid.club/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400d41d.eot	(from https://badkid.club/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=4.9.5)
23:48:23	13276/13276	---M--	200	added ('OK')	font/woff2	date:Tue,%2029%20Mar%202022%2008:22:22%20GMT	https://badkid.club/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff2	(from https://badkid.club/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=4.9.5)
23:48:24	16276/16276	---M--	200	added ('OK')	font/woff	date:Tue,%2029%20Mar%202022%2008:22:22%20GMT	https://badkid.club/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff	(from https://badkid.club/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=4.9.5)
23:48:24	33736/33736	---MCZ	200	added ('OK')	font/ttf	date:Tue,%2029%20Mar%202022%2008:22:22%20GMT	https://badkid.club/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.ttf	(from https://badkid.club/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=4.9.5)
23:48:24	144714/144714	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2029%20Mar%202022%2008:22:22%20GMT	https://badkid.club/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/bad/badkid.club/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.svg	(from https://badkid.club/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=4.9.5)
